n,p,a,heuristic,solution,OF,seconds
50,5,2,pdp_based,"{33, 5, 37, 40, 28}",628,0.0007600999999795
50,5,2,pdp_based,"{33, 2, 34, 13, 14}",607,0.0005345000000147
50,5,2,pdp_based,"{35, 5, 8, 9, 42}",794,0.000526700000023
50,5,2,pdp_based,"{18, 19, 13, 45, 14}",611,0.0006174999999757
50,5,2,pdp_based,"{1, 7, 27, 29, 47}",643,0.0005246000000056
50,5,2,pdp_based,"{2, 37, 23, 8, 28}",688,0.0005088999999998
50,5,2,pdp_based,"{20, 21, 41, 44, 45}",608,0.0005183999999758
50,5,2,pdp_based,"{35, 4, 43, 27, 28}",743,0.0005261999999675
50,5,2,pdp_based,"{3, 22, 23, 43, 31}",779,0.0005020000000399
50,5,2,pdp_based,"{48, 49, 40, 9, 41}",627,0.0005317000000104
50,5,2,pdp_based,"{0, 39, 7, 41, 42}",881,0.0015640999999959
50,5,2,pdp_based,"{35, 36, 37, 38, 30}",669,0.0007990999999947
50,5,2,pdp_based,"{2, 34, 4, 26, 15}",724,0.0013015000000109
50,5,2,pdp_based,"{5, 11, 31, 47, 15}",765,0.0035753999999883
50,5,2,pdp_based,"{34, 7, 11, 27, 47}",663,0.0010138000000097
50,5,2,pdp_based,"{1, 6, 7, 9, 43}",861,0.000934500000028
50,5,2,pdp_based,"{37, 38, 40, 41, 42}",767,0.0009621000000379
50,5,2,pdp_based,"{3, 4, 7, 23, 26}",747,0.0005820999999741
50,5,2,pdp_based,"{49, 34, 35, 20, 18}",638,0.0005277000000205
50,5,2,pdp_based,"{4, 37, 6, 7, 13}",565,0.0006008999999949
50,5,3,pdp_based,"{33, 5, 37, 40, 28}",799,0.0005954999999744
50,5,3,pdp_based,"{33, 2, 34, 13, 14}",924,0.0005363999999872
50,5,3,pdp_based,"{35, 5, 8, 9, 42}",832,0.0017520000000104
50,5,3,pdp_based,"{18, 19, 13, 45, 14}",786,0.0012025999999991
50,5,3,pdp_based,"{1, 7, 27, 29, 47}",918,0.000575700000013
50,5,3,pdp_based,"{2, 37, 23, 8, 28}",856,0.0005343999999922
50,5,3,pdp_based,"{20, 21, 41, 44, 45}",758,0.0009772999999881
50,5,3,pdp_based,"{35, 4, 43, 27, 28}",762,0.0005469000000175
50,5,3,pdp_based,"{3, 22, 23, 43, 31}",903,0.0005088999999998
50,5,3,pdp_based,"{48, 49, 40, 9, 41}",738,0.0005206999999813
50,5,3,pdp_based,"{0, 39, 7, 41, 42}",958,0.0005676999999764
50,5,3,pdp_based,"{35, 36, 37, 38, 30}",765,0.0010512999999718
50,5,3,pdp_based,"{2, 34, 4, 26, 15}",931,0.0012494999999717
50,5,3,pdp_based,"{5, 11, 31, 47, 15}",950,0.0010328999999842
50,5,3,pdp_based,"{34, 7, 11, 27, 47}",809,0.0011322000000291
50,5,3,pdp_based,"{1, 6, 7, 9, 43}",876,0.0010649999999827
50,5,3,pdp_based,"{37, 38, 40, 41, 42}",830,0.0008980999999721
50,5,3,pdp_based,"{3, 4, 7, 23, 26}",872,0.0008745999999746
50,5,3,pdp_based,"{49, 34, 35, 20, 18}",750,0.000930100000005
50,5,3,pdp_based,"{4, 37, 6, 7, 13}",844,0.0006210000000237
400,20,2,pdp_based,"{194, 324, 261, 200, 267, 142, 219, 220, 29, 33, 230, 297, 301, 370, 243, 125, 122, 187, 253, 126}",307,0.0716399000000365
400,20,2,pdp_based,"{321, 70, 11, 274, 83, 85, 22, 86, 150, 88, 223, 357, 37, 233, 361, 364, 108, 306, 186, 60}",292,0.102789400000006
400,20,2,pdp_based,"{194, 195, 197, 198, 396, 397, 398, 271, 205, 337, 145, 283, 349, 354, 294, 41, 114, 181, 315, 317}",310,0.1252101000000038
400,20,2,pdp_based,"{64, 322, 259, 3, 197, 201, 75, 334, 15, 216, 25, 32, 289, 290, 298, 112, 113, 115, 123, 63}",294,0.0515835000000493
400,20,2,pdp_based,"{320, 192, 322, 261, 135, 138, 139, 345, 89, 162, 291, 292, 231, 44, 45, 242, 179, 53, 254, 255}",317,0.0577933000000143
400,20,2,pdp_based,"{131, 68, 69, 76, 205, 206, 336, 148, 343, 88, 352, 353, 170, 365, 46, 239, 47, 238, 175, 307}",297,0.0491261000000236
400,20,2,pdp_based,"{322, 4, 394, 395, 269, 206, 16, 147, 22, 155, 220, 284, 352, 354, 292, 176, 49, 180, 182, 58}",328,0.0511104999999929
400,20,2,pdp_based,"{67, 68, 319, 330, 211, 20, 155, 28, 225, 163, 164, 229, 111, 113, 371, 247, 250, 379, 188, 63}",323,0.0504844999999818
400,20,2,pdp_based,"{66, 132, 391, 11, 140, 207, 24, 284, 231, 364, 174, 368, 48, 178, 241, 252, 377, 378, 188, 253}",275,0.0527071000000205
400,20,2,pdp_based,"{320, 330, 206, 209, 147, 148, 151, 154, 90, 352, 169, 300, 47, 177, 243, 308, 183, 377, 188, 253}",339,0.0621763999999984
400,20,2,pdp_based,"{256, 258, 134, 327, 200, 75, 399, 272, 21, 284, 349, 285, 160, 33, 353, 295, 234, 235, 364, 308}",304,0.0542502999999783
400,20,2,pdp_based,"{192, 134, 327, 12, 214, 345, 92, 93, 284, 349, 289, 290, 357, 360, 297, 169, 307, 119, 314, 61}",324,0.057710400000019
400,20,2,pdp_based,"{389, 10, 143, 84, 278, 348, 220, 92, 223, 224, 293, 358, 230, 234, 235, 300, 302, 113, 116, 186}",294,0.0534675000000106
400,20,2,pdp_based,"{2, 326, 263, 328, 329, 399, 16, 89, 169, 106, 298, 170, 111, 112, 369, 50, 51, 244, 53, 243}",312,0.0562411000000224
400,20,2,pdp_based,"{256, 71, 393, 332, 205, 76, 268, 83, 342, 23, 280, 219, 285, 31, 235, 113, 50, 249, 382, 383}",276,0.0574202000000241
400,20,2,pdp_based,"{66, 68, 198, 74, 395, 397, 399, 16, 81, 209, 347, 164, 165, 36, 102, 356, 298, 170, 236, 181}",348,0.0537185999999678
400,20,2,pdp_based,"{261, 8, 201, 202, 13, 22, 281, 155, 222, 289, 39, 299, 236, 237, 300, 112, 48, 246, 185, 319}",359,0.0570716999999945
400,20,2,pdp_based,"{1, 259, 325, 198, 134, 201, 204, 77, 78, 208, 215, 157, 93, 290, 34, 354, 106, 176, 113, 380}",343,0.056023400000015
400,20,2,pdp_based,"{391, 10, 13, 77, 271, 16, 17, 274, 144, 84, 20, 276, 151, 89, 159, 32, 165, 233, 111, 122}",276,0.0583487000000104
400,20,2,pdp_based,"{1, 385, 387, 261, 390, 135, 71, 393, 330, 139, 13, 206, 205, 282, 32, 225, 112, 244, 182, 379}",284,0.0583753999999885
400,20,3,pdp_based,"{194, 324, 261, 200, 267, 142, 219, 220, 29, 33, 230, 297, 301, 370, 243, 125, 122, 187, 253, 126}",409,0.0693304999999782
400,20,3,pdp_based,"{321, 70, 11, 274, 83, 85, 22, 86, 150, 88, 223, 357, 37, 233, 361, 364, 108, 306, 186, 60}",353,0.0569914000000153
400,20,3,pdp_based,"{194, 195, 197, 198, 396, 397, 398, 271, 205, 337, 145, 283, 349, 354, 294, 41, 114, 181, 315, 317}",400,0.0572827999999958
400,20,3,pdp_based,"{64, 322, 259, 3, 197, 201, 75, 334, 15, 216, 25, 32, 289, 290, 298, 112, 113, 115, 123, 63}",386,0.0556336999999871
400,20,3,pdp_based,"{320, 192, 322, 261, 135, 138, 139, 345, 89, 162, 291, 292, 231, 44, 45, 242, 179, 53, 254, 255}",350,0.0597925000000145
