,OF,OF,OF,OF,seconds,seconds
,pdp,greedy,absolute,%,pdp,greedy
60,409.0,425.0,-16,-3.9119804400977993,0.0693304999999782,30.42868950000048
61,353.0,480.0,-127,-35.977337110481585,0.0569914000000153,29.794342099999994
62,400.0,389.0,11,2.75,0.0572827999999958,34.427896999999575
63,386.0,431.0,-45,-11.658031088082902,0.0556336999999871,30.758091699999568
64,350.0,395.0,-45,-12.857142857142856,0.0597925000000145,32.29581329999928
65,377.0,511.0,-134,-35.54376657824933,0.0539380000000164,33.58812659999967
66,357.0,407.0,-50,-14.005602240896359,0.0576384999999959,30.63882569999987
67,422.0,361.0,61,14.454976303317535,0.0538917999999739,34.78495850000036
68,372.0,444.0,-72,-19.35483870967742,0.0592675000000326,99.63340179999976
69,471.0,414.0,57,12.101910828025478,0.0585148999999773,64.14101149999988
70,365.0,419.0,-54,-14.794520547945206,0.0525656999999455,43.25082570000086
71,377.0,383.0,-6,-1.5915119363395225,0.0546411999999918,42.67398740000135
72,347.0,366.0,-19,-5.475504322766571,0.0555304999999748,35.282770300000266
73,397.0,421.0,-24,-6.045340050377834,0.075509199999999,33.75699200000054
74,354.0,391.0,-37,-10.451977401129943,0.0939878000000362,34.87109220000093
75,406.0,369.0,37,9.113300492610838,0.0740057999999521,32.796714500000235
76,390.0,401.0,-11,-2.8205128205128207,0.0939238999999929,36.38487489999898
77,375.0,434.0,-59,-15.733333333333333,0.0733998999999698,33.087492500000735
78,372.0,404.0,-32,-8.60215053763441,0.0643959000000222,29.9604877999991
79,341.0,366.0,-25,-7.331378299120235,0.0973842999999874,37.2038264999992
winnings,16.0,4.0,,,,
average,381.05,410.55,-29.5,-8.386737032491713,0.06588128999999295,38.98801107500003
