OF,OF,OF,OF,seconds,seconds
pdp,greedy,absolute,%,pdp,greedy
799.0,659.0,140,17.521902377972467,0.0005954999999744,0.0294816999994509
924.0,688.0,236,25.541125541125542,0.0005363999999872,0.0161518999993859
832.0,794.0,38,4.567307692307692,0.0017520000000104,0.0155441999995673
786.0,611.0,175,22.264631043256998,0.0012025999999991,0.0156194000010145
918.0,653.0,265,28.86710239651416,0.000575700000013,0.0168296000010741
856.0,761.0,95,11.098130841121495,0.0005343999999922,0.017953500000658
758.0,617.0,141,18.601583113456467,0.0009772999999881,0.0132021999997959
762.0,665.0,97,12.72965879265092,0.0005469000000175,0.0180276000010053
903.0,786.0,117,12.956810631229235,0.0005088999999998,0.0190158999994309
738.0,712.0,26,3.523035230352303,0.0005206999999813,0.0121263000000908
958.0,880.0,78,8.1419624217119,0.0005676999999764,0.0282367999989219
765.0,676.0,89,11.633986928104575,0.0010512999999718,0.019160699999702
931.0,774.0,157,16.86358754027927,0.0012494999999717,0.0236736999995628
950.0,765.0,185,19.473684210526315,0.0010328999999842,0.021468899998581
809.0,585.0,224,27.6885043263288,0.0011322000000291,0.0136992999996437
876.0,745.0,131,14.954337899543379,0.0010649999999827,0.018598300001031
830.0,706.0,124,14.93975903614458,0.0008980999999721,0.0173470000008819
872.0,784.0,88,10.091743119266056,0.0008745999999746,0.017704899999444
750.0,750.0,0,0.0,0.000930100000005,0.0163725999991584
844.0,682.0,162,19.194312796208532,0.0006210000000237,0.0146424999984446
1.0,19.0,,,,
843.05,714.65,128.4,15.032658296905035,0.000858639999992715,0.01824284999984225
