instance,p,x(S) ogd,time ogd,ofv time,x(S) rgd,time rgd,faster x
dsj1000,50,104409,0.022,0.,104409,0.002,9.0596926480464575
dsj1000,100,65057,0.072,0.,65057,0.002,24.603051111186279
dsj1000,200,39266,0.231,0.,39266,0.004,51.346803137046393
fl3795,189,42,1.965,0.,42,0.042,46.138382052961319
fl3795,379,25,6.198,0.,25,0.076,80.550118258609487
fl3795,759,13,18.498,0.001,13,0.149,123.33317843246544
rl5934,296,563,7.885,0.,563,0.111,70.697952900759532
rl5934,593,372,24.462,0.001,372,0.193,126.2448434029412
rl5934,1186,240,12.348,0.003,240,0.362,199.39774227145935
pla7397,369,18449,13.207,0.,18449,0.164,80.223116545486576
pla7397,739,11661,42.495,0.001,11661,0.303,140.05756116724743
pla7397,1479,6324,19.338,0.004,6324,0.567,245.63070736330252
usa13509,675,8016,27.928,0.001,8016,0.545,161.13937439374888
usa13509,1350,5144,38.256,0.006,5144,0.999,278.52045293324483
usa13509,2701,3182,35.511,0.018,3182,1.918,425.11883704973877
